conference,team,conference_ranking,win_percent,conf_win_percent,availability,ncaa_tournament,med_school,weighted_postseason_win_pct,weighted_postseason_points,postseason_eff,eff_tier
SEC,Oklahoma,11,0.559,0.389,0.9732,0,1,0.682,15,2.1075,Strong
SEC,Mississippi St.,13,0.406,0.278,0.9704,0,0,0.500,1,0.3466,Below Average
BIG10,Purdue,7,0.769,0.650,0.9688,1,0,1.000,112,4.7185,Elite
SEC,Georgia,7,0.667,0.556,0.9667,1,1,0.500,3,0.8959,Below Average
SEC,Florida,1,0.771,0.889,0.9667,1,1,0.659,29,2.4941,Strong
SEC,Texas,10,0.600,0.500,0.9467,1,1,0.500,1,0.3466,Below Average
BIG12,Colorado,11,0.531,0.389,0.9417,0,1,0.500,1,0.3466,Below Average
SEC,South Carolina,14,0.406,0.222,0.9389,0,1,0.500,1,0.3466,Below Average
SEC,Texas A&M,6,0.647,0.611,0.9342,1,1,0.500,3,0.8959,Below Average
ACC,Wake Forest,13,0.514,0.389,0.9333,0,1,0.625,5,1.2997,Average
SEC,Ole Miss,15,0.429,0.222,0.9330,0,1,0.712,37,2.8115,Elite
BIG10,Iowa,9,0.649,0.500,0.9286,1,1,0.625,5,1.2997,Average
BIG12,West Virginia,7,0.563,0.500,0.9278,0,1,0.500,3,0.8959,Below Average
BIG12,Arizona,1,0.947,0.889,0.9271,1,1,1.000,106,4.6634,Elite
BIG10,Michigan,1,0.921,0.950,0.9265,1,1,0.708,75,3.2996,Elite
ACC,Virginia,2,0.833,0.833,0.9259,1,1,0.708,75,3.2996,Elite
BIG10,Northwestern,15,0.441,0.250,0.9222,0,1,0.700,7,1.6118,Average
SEC,Auburn,12,0.543,0.389,0.9222,0,1,0.625,5,1.2997,Average
BIG10,Wisconsin,5,0.686,0.700,0.9200,1,1,0.700,35,2.7384,Strong
SEC,Arkansas,3,0.778,0.722,0.9179,1,1,1.000,106,4.6634,Elite
ACC,SMU,11,0.588,0.444,0.9167,1,0,0.625,5,1.2997,Average
